Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14
168,168,0A,0.273186,0.657857,0.229326,0.663327,63.9368,45.7246,-219.596,63.9368,45.7246,-219.596,0.126084
280,280,0A,0.267916,0.654567,0.229944,0.668498,63.872,45.4387,-219.702,63.872,45.4387,-219.702,0.135575
400,400,0A,0.269331,0.653632,0.227496,0.66968,63.907,45.5659,-219.798,63.907,45.5659,-219.798,0.130749
504,504,0A,0.269847,0.654133,0.227599,0.668948,63.8745,46.0849,-220.056,63.8745,46.0849,-220.056,0.12935
608,608,0A,0.269787,0.650884,0.228393,0.671864,63.9167,45.6705,-219.899,63.9167,45.6705,-219.899,0.116998
1312,1312,0A,0.284018,0.578119,0.253077,0.721848,65.5203,11.2836,-249.207,65.5203,11.2836,-249.207,0.105747
1424,1424,0A,0.28122,0.577678,0.249984,0.72437,65.5383,11.2248,-249.282,65.5383,11.2248,-249.282,0.105267
1520,1520,0A,0.280645,0.57759,0.2459,0.726059,65.5474,11.27,-249.331,65.5474,11.27,-249.331,0.107463
1616,1616,0A,0.276405,0.577233,0.248079,0.727227,65.5187,11.1962,-249.358,65.5187,11.1962,-249.358,0.104054
1736,1736,0A,0.272978,0.576481,0.247307,0.729378,65.534,11.0468,-249.36,65.534,11.0468,-249.36,0.104875
2520,2520,0A,0.243218,0.589188,0.339737,0.691579,65.5307,-15.9958,-224.152,65.5307,-15.9958,-224.152,0.106898
2616,2616,0A,0.249831,0.590624,0.339312,0.688197,65.3549,-15.5786,-223.605,65.3549,-15.5786,-223.605,0.0968067
2696,2696,0A,0.251303,0.5919,0.341401,0.685526,65.3438,-15.5531,-223.487,65.3438,-15.5531,-223.487,0.0966182
2784,2784,0A,0.251599,0.590207,0.343592,0.685783,65.3562,-15.6772,-223.486,65.3562,-15.6772,-223.486,0.0965917
2872,2872,0A,0.249038,0.589556,0.346247,0.685943,65.4438,-15.6194,-223.588,65.4438,-15.6194,-223.588,0.0906391
4352,4352,0A,0.227926,0.709253,0.130863,0.654129,64.4628,12.2937,-194.367,64.4628,12.2937,-194.367,0.0311376
4464,4464,0A,0.226679,0.708084,0.133864,0.655221,64.4554,12.2026,-194.458,64.4554,12.2026,-194.458,0.033077
4576,4576,0A,0.225045,0.711229,0.13653,0.651819,64.4846,12.1382,-194.308,64.4846,12.1382,-194.308,0.0352845
4672,4672,0A,0.223837,0.707703,0.138534,0.655638,64.4832,12.1243,-194.499,64.4832,12.1243,-194.499,0.0356822
4792,4792,0A,0.218297,0.705537,0.141722,0.659151,64.4079,11.9541,-194.564,64.4079,11.9541,-194.564,0.0347551
5632,5632,0A,0.231906,0.70052,0.0756081,0.670653,64.863,37.6729,-218.888,64.863,37.6729,-218.888,0.104601
5752,5752,0A,0.228998,0.698285,0.0742928,0.67412,64.7887,38.0477,-219.534,64.7887,38.0477,-219.534,0.10139
5872,5872,0A,0.228042,0.694716,0.076979,0.67782,64.7986,37.5915,-219.231,64.7986,37.5915,-219.231,0.0885475
5992,5992,0A,0.226394,0.694736,0.0778719,0.678251,64.6889,37.8869,-219.66,64.6889,37.8869,-219.66,0.100298
6112,6112,0A,0.231148,0.695702,0.0803351,0.675364,64.7932,37.6748,-219.163,64.7932,37.6748,-219.163,0.0859536
7232,7232,0A,0.264763,0.67108,0.115743,0.682756,64.1995,37.1025,-210.255,64.1995,37.1025,-210.255,0.0820928
7360,7360,0A,0.258713,0.671519,0.104495,0.686448,64.239,37.1041,-210.25,64.239,37.1041,-210.25,0.0907403
7472,7472,0A,0.258568,0.671775,0.108531,0.685626,64.1969,37.0283,-210.246,64.1969,37.0283,-210.246,0.0844897
7584,7584,0A,0.253699,0.667742,0.117024,0.689973,64.0711,36.7214,-210.395,64.0711,36.7214,-210.395,0.0818371
7696,7696,0A,0.248726,0.669608,0.11116,0.690944,64.11,36.7781,-210.311,64.11,36.7781,-210.311,0.0936349
