Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14
8552,8552,0A,0.255278,0.700408,0.118846,0.655849,-8.60763,27.7183,-202.108,-8.60763,27.7183,-202.108,0.0518445
8672,8672,0A,0.253718,0.700608,0.126633,0.654782,-8.73492,27.7622,-202.408,-8.73492,27.7622,-202.408,0.0554923
8784,8784,0A,0.251503,0.698792,0.127424,0.657418,-8.73531,27.6857,-202.491,-8.73531,27.6857,-202.491,0.0536931
8896,8896,0A,0.254088,0.699905,0.124493,0.6558,-8.57899,27.543,-202.131,-8.57899,27.543,-202.131,0.0546706
9016,9016,0A,0.252558,0.700399,0.121041,0.65651,-8.70427,27.7451,-202.408,-8.70427,27.7451,-202.408,0.0485074
9376,9376,0A,0.249719,0.716083,0.135335,0.637613,-8.46969,28.9926,-234.027,-8.46969,28.9926,-234.027,0.0859135
9488,9488,0A,0.249475,0.714172,0.146737,0.63733,-8.5457,28.7068,-233.989,-8.5457,28.7068,-233.989,0.0809766
9600,9600,0A,0.249844,0.71344,0.145939,0.638187,-8.51251,28.8111,-234.069,-8.51251,28.8111,-234.069,0.0842586
9704,9704,0A,0.250593,0.717312,0.142961,0.634216,-8.44538,28.8778,-233.853,-8.44538,28.8778,-233.853,0.0859453
9832,9832,0A,0.245951,0.720839,0.127115,0.635406,-8.38956,29.0502,-233.72,-8.38956,29.0502,-233.72,0.0792903
10248,10248,0A,0.258152,0.703924,0.145538,0.645497,-8.28464,-2.89482,-235.555,-8.28464,-2.89482,-235.555,0.0706429
10352,10352,0A,0.259266,0.704376,0.147164,0.644188,-8.34283,-2.80433,-235.529,-8.34283,-2.80433,-235.529,0.0664082
10472,10472,0A,0.26097,0.704469,0.148258,0.643147,-8.34077,-2.80315,-235.504,-8.34077,-2.80315,-235.504,0.065382
10584,10584,0A,0.261507,0.703132,0.147083,0.64466,-8.35007,-2.75689,-235.637,-8.35007,-2.75689,-235.637,0.0696373
10688,10688,0A,0.260378,0.702975,0.152261,0.644086,-8.36937,-2.89603,-235.593,-8.36937,-2.89603,-235.593,0.0694747
11192,11192,0A,0.236385,0.66952,0.127299,0.692575,-8.89764,-4.88386,-204.879,-8.89764,-4.88386,-204.879,0.0376026
11296,11296,0A,0.243704,0.667969,0.12809,0.69139,-8.81089,-4.85279,-204.91,-8.81089,-4.85279,-204.91,0.0280165
11408,11408,0A,0.242083,0.668933,0.12772,0.691095,-8.70382,-4.77249,-204.685,-8.70382,-4.77249,-204.685,0.0392977
11504,11504,0A,0.242165,0.668935,0.131806,0.690297,-8.7199,-4.83568,-204.689,-8.7199,-4.83568,-204.689,0.0439828
11624,11624,0A,0.242288,0.668139,0.130626,0.691248,-8.85218,-4.82664,-204.936,-8.85218,-4.82664,-204.936,0.0324256
12072,12072,0A,0.203339,0.672924,0.110676,0.702551,-9.35707,21.3981,-209.289,-9.35707,21.3981,-209.289,0.0571865
12184,12184,0A,0.207457,0.672969,0.122336,0.699363,-9.16731,21.1823,-208.983,-9.16731,21.1823,-208.983,0.0626939
12288,12288,0A,0.209082,0.672444,0.125374,0.698846,-9.38533,21.2301,-209.197,-9.38533,21.2301,-209.197,0.0547205
12392,12392,0A,0.210987,0.672348,0.12673,0.69812,-9.19243,21.1573,-208.983,-9.19243,21.1573,-208.983,0.0587223
12504,12504,0A,0.209611,0.67231,0.127645,0.698405,-9.38835,21.1782,-209.23,-9.38835,21.1782,-209.23,0.0498524
12864,12864,0A,0.212813,0.690222,0.144909,0.676244,-9.09651,22.0143,-229.834,-9.09651,22.0143,-229.834,0.0708828
12976,12976,0A,0.211681,0.687346,0.154755,0.677347,-9.30656,21.9312,-230.397,-9.30656,21.9312,-230.397,0.0809663
13088,13088,0A,0.212123,0.687432,0.158251,0.676312,-9.17334,21.8316,-229.907,-9.17334,21.8316,-229.907,0.073117
13176,13176,0A,0.21462,0.686354,0.163527,0.675364,-8.99543,21.7054,-229.552,-8.99543,21.7054,-229.552,0.0956046
13296,13296,0A,0.216171,0.685304,0.172168,0.673786,-9.15055,21.6553,-229.922,-9.15055,21.6553,-229.922,0.0759355
13704,13704,0A,0.226598,0.688869,0.170187,0.667195,-8.90472,0.796939,-230.543,-8.90472,0.796939,-230.543,0.0633746
13816,13816,0A,0.225497,0.689255,0.174396,0.666082,-8.92405,0.790949,-230.551,-8.92405,0.790949,-230.551,0.0653915
13928,13928,0A,0.225968,0.689091,0.18211,0.664025,-8.88534,0.585669,-230.467,-8.88534,0.585669,-230.467,0.0679975
14024,14024,0A,0.228118,0.690341,0.181736,0.662091,-8.86109,0.700704,-230.405,-8.86109,0.700704,-230.405,0.0654282
14136,14136,0A,0.228623,0.691206,0.18379,0.660445,-8.70484,0.724557,-229.938,-8.70484,0.724557,-229.938,0.0903296
14952,14952,0A,0.208648,0.672014,0.149151,0.694706,-9.25117,-0.454183,-209.722,-9.25117,-0.454183,-209.722,0.0376803
15056,15056,0A,0.210863,0.671387,0.154064,0.693571,-9.23859,-0.494628,-209.693,-9.23859,-0.494628,-209.693,0.040676
15160,15160,0A,0.213683,0.67216,0.154948,0.69176,-9.23723,-0.403396,-209.666,-9.23723,-0.403396,-209.666,0.0390786
15264,15264,0A,0.214225,0.672012,0.156075,0.691483,-9.24235,-0.382821,-209.697,-9.24235,-0.382821,-209.697,0.0387603
15376,15376,0A,0.21373,0.670601,0.158123,0.69254,-9.23866,-0.498575,-209.738,-9.23866,-0.498575,-209.738,0.0399625
15856,15856,0A,0.189121,0.670178,0.143077,0.703295,-9.26655,15.2847,-214.725,-9.26655,15.2847,-214.725,0.0479289
15968,15968,0A,0.188893,0.669259,0.148851,0.703033,-9.09163,15.1412,-214.532,-9.09163,15.1412,-214.532,0.0667147
16080,16080,0A,0.189534,0.668573,0.150456,0.703171,-9.29732,15.2047,-214.805,-9.29732,15.2047,-214.805,0.0510742
16184,16184,0A,0.186103,0.666606,0.155732,0.704805,-9.30928,14.946,-214.84,-9.30928,14.946,-214.84,0.0517474
16304,16304,0A,0.186645,0.667891,0.157148,0.703129,-9.30049,14.9578,-214.764,-9.30049,14.9578,-214.764,0.0536434
16888,16888,0A,0.181734,0.680139,0.164706,0.690837,-9.17183,15.2855,-225.015,-9.17183,15.2855,-225.015,0.0590361
17016,17016,0A,0.181962,0.67721,0.173434,0.691518,-9.17592,15.075,-225.111,-9.17592,15.075,-225.111,0.0664029
17128,17128,0A,0.180367,0.672437,0.173621,0.696529,-9.23365,14.9806,-225.318,-9.23365,14.9806,-225.318,0.0599785
17240,17240,0A,0.178682,0.66923,0.172898,0.700222,-9.27205,14.9298,-225.486,-9.27205,14.9298,-225.486,0.0589684
17344,17344,0A,0.178097,0.669191,0.172302,0.700556,-9.28267,14.9261,-225.436,-9.28267,14.9261,-225.436,0.0611324
17816,17816,0A,0.174697,0.672509,0.158942,0.701392,-9.18968,4.50993,-225.716,-9.18968,4.50993,-225.716,0.0556651
17928,17928,0A,0.170512,0.670623,0.166072,0.702574,-9.19172,4.33599,-225.847,-9.19172,4.33599,-225.847,0.054117
18032,18032,0A,0.170303,0.671213,0.170834,0.700918,-9.20608,4.18597,-225.754,-9.20608,4.18597,-225.754,0.0587689
18136,18136,0A,0.171549,0.672674,0.169091,0.699635,-9.35031,4.3423,-226.096,-9.35031,4.3423,-226.096,0.064814
18248,18248,0A,0.173306,0.673388,0.170594,0.698149,-9.15553,4.34994,-225.639,-9.15553,4.34994,-225.639,0.055393
18648,18648,0A,0.176759,0.667954,0.168342,0.703032,-9.22205,3.92308,-215.099,-9.22205,3.92308,-215.099,0.045644
18760,18760,0A,0.173298,0.666084,0.172044,0.70477,-9.27337,3.70561,-215.125,-9.27337,3.70561,-215.125,0.0472189
18872,18872,0A,0.174513,0.663732,0.170415,0.707081,-9.29147,3.7237,-215.25,-9.29147,3.7237,-215.25,0.0455252
18984,18984,0A,0.170769,0.664102,0.174445,0.706665,-9.25088,3.59098,-215.179,-9.25088,3.59098,-215.179,0.0488728
19096,19096,0A,0.171944,0.66521,0.173544,0.705559,-9.27475,3.67558,-215.131,-9.27475,3.67558,-215.131,0.0475364
