Hat,Pen,Treatment,A2M Angle,A2M x,A2M y,A2M z,T2C Angle,T2C x,T2C y,T2C z,T2M Angle,T2M x,T2M y,T2M z
A,1,a,1.81086195109034,122.708069150948,196.662710152002,73.4661721380113,0.856245816768903,-1.17460289211786,1.48697276611428,-3.45656159603115,1.58024227565418,0.128444367173901,1.69757638751536,64.749347605099
A,1,b,1.96468396423786,35.1449549609007,176.371689475253,72.8543172406193,0.951524295544876,-0.841407969810632,2.51410968482752,-2.63692800291198,1.56550050407204,0.500360908163836,2.43746084084719,64.6685498927265
A,1,c,1.963008029725,34.1622467363364,176.437539764869,72.783452355578,2.02198548877425,-0.844549293468503,2.52432331025258,-2.61054977495516,0.0251144470325835,0.066354611836057,2.51621012238397,64.741460278119
A,2,a,1.81065170155061,123.014181618121,196.35578669168,73.4282322138417,0.855936611402348,-1.2223896054708,1.27716902919454,-3.40777310039094,1.58121949728371,0.183902135754786,1.62779587128696,64.7824749121285
A,2,b,1.96478564167833,35.3378873218161,176.361918153517,72.7545384729185,0.95140362277435,-0.828861214596117,2.30261927244555,-2.69745360081857,1.56525992128651,0.52967145403507,2.47089690638607,64.6815610660453
A,2,c,1.96374658435654,34.2487035912066,176.460036546347,72.6776704442885,2.02193738136885,-0.805905340678606,2.31747241176307,-2.67846392762029,0.0250549037748062,0.111725875868415,2.53039976960784,64.7546925026355
A,3,a,1.81069262947642,122.819646817527,196.52653604931,73.2791362107175,0.856221023941052,-1.21930622574232,1.34548046785875,-3.26202846420738,1.5806683542487,0.189894554469419,1.65799568491775,64.7572267260069
A,3,b,1.96473949686972,35.2105815974222,176.395244336063,72.6285546017137,0.951555042736677,-0.813236425468119,2.29222382692162,-2.53816805976309,1.56514962632227,0.519291973675833,2.4568780796313,64.6742530497385
A,3,c,1.96337167413886,34.1872390542393,176.465351291007,72.5513049674292,2.02197467769759,-0.805546580695705,2.3007826923528,-2.51855563039147,0.0251460355626105,0.094096267716459,2.51939339148598,64.7475528816926
A,4,a,1.81105623172522,123.252765027022,196.275056132355,73.3894075804927,0.855734041037409,-1.16755605961438,1.19444772838525,-3.46688641155581,1.58160180133275,0.226540973743912,1.61186358887418,64.8109404732344
